,Player,Role,Price,Team,Year,Origin,Retained
312,Nicholas Pooran,Wicket-Keeper,16.0,LSG,2023,Overseas,No
313,Avesh Khan,Bowler,10.0,LSG,2023,Indian,Yes
314,Marcus Stoinis,All-Rounder,10.0,LSG,2023,Overseas,Yes
315,Krunal Pandya,All-Rounder,8.25,LSG,2023,Indian,Yes
316,Mark Wood,Bowler,7.5,LSG,2023,Overseas,Yes
317,Quinton de Kock,Wicket-Keeper,6.75,LSG,2023,Overseas,Yes
318,Deepak Hooda,All-Rounder,5.75,LSG,2023,Indian,Yes
319,Ravi Bishnoi,Bowler,4.0,LSG,2023,Indian,Yes
320,Krishnappa Gowtham,All-Rounder,0.9,LSG,2023,Indian,Yes
321,Daniel Sams,All-Rounder,0.75,LSG,2023,Overseas,No
322,Amit Mishra,Bowler,0.5,LSG,2023,Indian,No
323,Jaydev Unadkat,Bowler,0.5,LSG,2023,Indian,No
324,Kyle Mayers,Batter,0.5,LSG,2023,Overseas,Yes
325,Naveen-ul-Haq,Bowler,0.5,LSG,2023,Overseas,No
326,Romario Shepherd,All-Rounder,0.5,LSG,2023,Overseas,No
327,Yash Thakur,Bowler,0.45,LSG,2023,Indian,No
328,Mohsin Khan,Bowler,0.2,LSG,2023,Indian,Yes
329,Ayush Badoni,Batter,0.2,LSG,2023,Indian,Yes
330,Karan Sharma,All-Rounder,0.2,LSG,2023,Indian,Yes
331,Yudhvir Singh,All-Rounder,0.2,LSG,2023,Indian,No
332,Mayank Yadav,Bowler,0.2,LSG,2023,Indian,Yes
333,Prerak Mankad,All-Rounder,0.2,LSG,2023,Indian,No
334,Swapnil Singh,All-Rounder,0.2,LSG,2023,Indian,No
335,Manan Vohra,Batter,0.2,LSG,2023,Indian,Yes
336,Hardik Pandya,All-Rounder,15.0,GT,2023,Indian,Yes
337,Rashid Khan,Bowler,15.0,GT,2023,Overseas,Yes
338,Rahul Tewatia,All-Rounder,9.0,GT,2023,Indian,Yes
339,Shubman Gill,Batter,8.0,GT,2023,Indian,Yes
340,Mohammad Shami,Bowler,6.25,GT,2023,Indian,Yes
341,Shivam Mavi,Bowler,6.0,GT,2023,Indian,No
342,Josh Little,Bowler,4.4,GT,2023,Overseas,No
343,Yash Dayal,Bowler,3.2,GT,2023,Indian,Yes
344,Sai Kishore,All-Rounder,3.0,GT,2023,Indian,Yes
345,David Miller,Batter,3.0,GT,2023,Overseas,Yes
346,Abhinav Manohar,Batter,2.6,GT,2023,Indian,Yes
347,Alzarri Joseph,Bowler,2.4,GT,2023,Overseas,Yes
348,Matthew Wade,Wicket-Keeper,2.4,GT,2023,Overseas,Yes
349,Kane Williamson,Batter,2.0,GT,2023,Overseas,No
350,Wriddhiman Saha,Wicket-Keeper,1.9,GT,2023,Indian,Yes
351,Jayant Yadav,Bowler,1.7,GT,2023,Indian,Yes
352,Vijay Shankar,All-Rounder,1.4,GT,2023,Indian,Yes
353,Srikar Bharat,Wicket-Keeper,1.2,GT,2023,Indian,No
354,Mohit Sharma,Bowler,0.5,GT,2023,Indian,No
355,Odean Smith,All-Rounder,0.5,GT,2023,Overseas,No
356,Noor Ahmad,Bowler,0.3,GT,2023,Overseas,Yes
357,Darshan Nalkande,Bowler,0.2,GT,2023,Indian,Yes
358,Urvil Patel,Wicket-Keeper,0.2,GT,2023,Indian,No
359,Sai Sudharsan,Batter,0.2,GT,2023,Indian,Yes
360,Pradeep Sangwan,Bowler,0.2,GT,2023,Indian,Yes
361,Andre Russell,All-Rounder,16.0,KKR,2023,Overseas,Yes
362,Shreyas Iyer,Batter,12.25,KKR,2023,Indian,Yes
363,Varun Chakaravarthy,Bowler,12.0,KKR,2023,Indian,Yes
364,Shardul Thakur,Bowler,10.75,KKR,2023,Indian,Yes
365,Lockie Ferguson,Bowler,10.0,KKR,2023,Overseas,Yes
366,Venkatesh Iyer,All-Rounder,8.0,KKR,2023,Indian,Yes
367,Nitish Rana,Batter,8.0,KKR,2023,Indian,Yes
368,Sunil Narine,All-Rounder,6.0,KKR,2023,Overseas,Yes
369,Umesh Yadav,Bowler,2.0,KKR,2023,Indian,Yes
370,Shakib Al Hasan,All-Rounder,1.5,KKR,2023,Overseas,No
371,Tim Southee,Bowler,1.5,KKR,2023,Overseas,Yes
372,David Wiese,All-Rounder,1.0,KKR,2023,Overseas,No
373,Narayan Jagadeesan,Wicket-Keeper,0.9,KKR,2023,Indian,No
374,Vaibhav Arora,Bowler,0.6,KKR,2023,Indian,No
375,Rinku Singh,Batter,0.55,KKR,2023,Indian,Yes
376,Mandeep Singh,Batter,0.5,KKR,2023,Indian,No
377,Litton Das,Wicket-Keeper,0.5,KKR,2023,Overseas,No
378,Rahmanullah Gurbaz,Wicket-Keeper,0.5,KKR,2023,Overseas,Yes
379,Suyash Sharma,Bowler,0.2,KKR,2023,Indian,No
380,Harshit Rana,Bowler,0.2,KKR,2023,Indian,Yes
381,Anukul Roy,All-Rounder,0.2,KKR,2023,Indian,Yes
382,Kulwant Khejroliya,Bowler,0.2,KKR,2023,Indian,No
383,Sam Curran,All-Rounder,18.5,PBKS,2023,Overseas,No
384,Liam Livingstone,All-Rounder,11.5,PBKS,2023,Overseas,Yes
385,Kagiso Rabada,Bowler,9.25,PBKS,2023,Overseas,Yes
386,Shahrukh Khan,Batter,9.0,PBKS,2023,Indian,Yes
387,Shikhar Dhawan,Batter,8.25,PBKS,2023,Indian,Yes
388,Jonny Bairstow,Wicket-Keeper,6.75,PBKS,2023,Overseas,Yes
389,Rahul Chahar,Bowler,5.25,PBKS,2023,Indian,Yes
390,Arshdeep Singh,Bowler,4.0,PBKS,2023,Indian,Yes
391,Harpreet Brar,Bowler,3.8,PBKS,2023,Indian,Yes
392,Raj Bawa,All-Rounder,2.0,PBKS,2023,Indian,Yes
393,Nathan Ellis,Bowler,0.75,PBKS,2023,Overseas,Yes
