,Player,Role,Price,Team,Year,Origin,Retained,C/U/A
280,Lungi Ngidi,Bowler,0.5,DC,2023,Overseas,Yes,Capped
281,Pravin Dubey,Bowler,0.5,DC,2023,Indian,Yes,Uncapped
282,Yash Dhull,Batter,0.5,DC,2023,Indian,Yes,Uncapped
283,Ripal Patel,Batter,0.2,DC,2023,Indian,Yes,Uncapped
284,Aman Khan,All-Rounder,0.2,DC,2023,Indian,Yes,Uncapped
285,Vicky Ostwal,Bowler,0.2,DC,2023,Indian,Yes,Uncapped
286,Sarfaraz Khan,Batter,0.2,DC,2023,Indian,Yes,Uncapped
287,Cameron Green,All-Rounder,17.5,MI,2023,Overseas,No,Capped
288,Rohit Sharma,Batter,16.0,MI,2023,Indian,Yes,Capped
289,Ishan Kishan,Wicket-Keeper,15.25,MI,2023,Indian,Yes,Capped
290,Jasprit Bumrah,Bowler,12.0,MI,2023,Indian,Yes,Capped
291,Tim David,Batter,8.25,MI,2023,Overseas,Yes,Capped
292,Jofra Archer,Bowler,8.0,MI,2023,Overseas,Yes,Capped
293,Suryakumar Yadav,Batter,8.0,MI,2023,Indian,Yes,Capped
294,Dewald Brevis,All-Rounder,3.0,MI,2023,Overseas,Yes,Capped
295,Tilak Varma,Batter,1.7,MI,2023,Indian,Yes,Uncapped
296,Jhye Richardson,Bowler,1.5,MI,2023,Overseas,No,Capped
297,Jason Behrendorff,Bowler,0.75,MI,2023,Overseas,Yes,Capped
298,Piyush Chawla,Bowler,0.5,MI,2023,Indian,No,Capped
299,Arjun Tendulkar,Bowler,0.3,MI,2023,Indian,Yes,Uncapped
300,Kumar Kartikeya,Bowler,0.2,MI,2023,Indian,Yes,Uncapped
301,Duan Jansen,Bowler,0.2,MI,2023,Overseas,No,Uncapped
302,Arshad Khan,Bowler,0.2,MI,2023,Indian,Yes,Uncapped
303,Hrithik Shokeen,Bowler,0.2,MI,2023,Indian,Yes,Uncapped
304,Akash Madhwal,Bowler,0.2,MI,2023,Indian,Yes,Uncapped
305,Raghav Goyal,Bowler,0.2,MI,2023,Indian,No,Uncapped
306,Tristan Stubbs,Batter,0.2,MI,2023,Overseas,Yes,Capped
307,Nehal Wadhera,All-Rounder,0.2,MI,2023,Indian,No,Uncapped
308,Shams Mulani,All-Rounder,0.2,MI,2023,Indian,No,Uncapped
309,Ramandeep Singh,Batter,0.2,MI,2023,Indian,Yes,Uncapped
310,Vishnu Vinod,Wicket-Keeper,0.2,MI,2023,Indian,No,Uncapped
311,KL Rahul,Batter,17.0,LSG,2023,Indian,Yes,Capped
312,Nicholas Pooran,Wicket-Keeper,16.0,LSG,2023,Overseas,No,Capped
313,Avesh Khan,Bowler,10.0,LSG,2023,Indian,Yes,Capped
314,Marcus Stoinis,All-Rounder,10.0,LSG,2023,Overseas,Yes,Capped
315,Krunal Pandya,All-Rounder,8.25,LSG,2023,Indian,Yes,Capped
316,Mark Wood,Bowler,7.5,LSG,2023,Overseas,Yes,Capped
317,Quinton de Kock,Wicket-Keeper,6.75,LSG,2023,Overseas,Yes,Capped
318,Deepak Hooda,All-Rounder,5.75,LSG,2023,Indian,Yes,Capped
319,Ravi Bishnoi,Bowler,4.0,LSG,2023,Indian,Yes,Capped
320,Krishnappa Gowtham,All-Rounder,0.9,LSG,2023,Indian,Yes,Capped
321,Daniel Sams,All-Rounder,0.75,LSG,2023,Overseas,No,Capped
322,Amit Mishra,Bowler,0.5,LSG,2023,Indian,No,Capped
323,Jaydev Unadkat,Bowler,0.5,LSG,2023,Indian,No,Capped
324,Kyle Mayers,Batter,0.5,LSG,2023,Overseas,Yes,Capped
325,Naveen-ul-Haq,Bowler,0.5,LSG,2023,Overseas,No,Capped
326,Romario Shepherd,All-Rounder,0.5,LSG,2023,Overseas,No,Capped
327,Yash Thakur,Bowler,0.45,LSG,2023,Indian,No,Uncapped
328,Mohsin Khan,Bowler,0.2,LSG,2023,Indian,Yes,Uncapped
329,Ayush Badoni,Batter,0.2,LSG,2023,Indian,Yes,Uncapped
330,Karan Sharma,All-Rounder,0.2,LSG,2023,Indian,Yes,Uncapped
331,Yudhvir Singh,All-Rounder,0.2,LSG,2023,Indian,No,Uncapped
332,Mayank Yadav,Bowler,0.2,LSG,2023,Indian,Yes,Uncapped
333,Prerak Mankad,All-Rounder,0.2,LSG,2023,Indian,No,Uncapped
334,Swapnil Singh,All-Rounder,0.2,LSG,2023,Indian,No,Uncapped
335,Manan Vohra,Batter,0.2,LSG,2023,Indian,Yes,Uncapped
336,Hardik Pandya,All-Rounder,15.0,GT,2023,Indian,Yes,Capped
337,Rashid Khan,Bowler,15.0,GT,2023,Overseas,Yes,Capped
338,Rahul Tewatia,All-Rounder,9.0,GT,2023,Indian,Yes,Capped
339,Shubman Gill,Batter,8.0,GT,2023,Indian,Yes,Capped
340,Mohammad Shami,Bowler,6.25,GT,2023,Indian,Yes,Capped
341,Shivam Mavi,Bowler,6.0,GT,2023,Indian,No,Uncapped
342,Josh Little,Bowler,4.4,GT,2023,Overseas,No,Capped
343,Yash Dayal,Bowler,3.2,GT,2023,Indian,Yes,Uncapped
344,Sai Kishore,All-Rounder,3.0,GT,2023,Indian,Yes,Uncapped
345,David Miller,Batter,3.0,GT,2023,Overseas,Yes,Capped
346,Abhinav Manohar,Batter,2.6,GT,2023,Indian,Yes,Uncapped
