,Player Name,Team,Year,Price,Replacement,Retained,Country,Age,Role,Batting Style,Bowling Style,C/U/A,Base Price
123,Shivam Mavi,KKR,2022,7.25,No,No,India,23,All-Rounder,RHB,Right Arm Fast Medium,Uncapped,0.4
124,Pat Cummins,KKR,2022,7.25,No,No,Australia,28,All-Rounder,RHB,Right Arm Fast,Capped,2.0
125,Sunil Narine,KKR,2022,6.0,No,Yes,West Indies,33,Bowler,LHB,Right Arm Off Spin,Capped,
126,Umesh Yadav,KKR,2022,2.0,No,No,India,34,Bowler,RHB,Right Arm Fast,Capped,2.0
127,Sam Billings,KKR,2022,2.0,No,No,England,30,Wicketkeeper,RHB,-,Capped,2.0
128,Tim Southee,KKR,2022,1.5,No,No,New Zealand,33,Bowler,RHB,Right Arm Fast,Capped,1.5
129,Alex Hales,KKR,2022,1.5,No,No,England,33,Batsman,RHB,-,Capped,1.5
130,Mohammad Nabi,KKR,2022,1.0,No,No,Afghanistan,37,All-Rounder,RHB,Right Arm Off Spin,Capped,1.0
131,Ajinkya Rahane,KKR,2022,1.0,No,No,India,33,Batsman,RHB,-,Capped,1.0
132,Sheldon Jackson,KKR,2022,0.6,No,No,India,35,Wicketkeeper,RHB,-,Uncapped,0.3
133,Rinku Singh,KKR,2022,0.55,No,No,India,24,Batsman,LHB,Right Arm Off Spin,Uncapped,0.2
134,Ashok Sharma,KKR,2022,0.55,No,No,India,19,Bowler,RHB,Right Arm Fast Medium,Uncapped,0.2
135,Chamika Karunaratne,KKR,2022,0.5,No,No,Sri Lanka,25,All-Rounder,RHB,Right Arm Fast Medium,Capped,0.5
136,Abhijeet Tomar,KKR,2022,0.4,No,No,India,27,Batsman,RHB,Right Arm Off Spin,Uncapped,0.2
137,Anukul Roy,KKR,2022,0.2,No,No,India,23,All-Rounder,LHB,Left Arm Slow Orthodox,Uncapped,0.2
138,Pratham Singh,KKR,2022,0.2,No,No,India,29,Batsman,LHB,Right Arm Off Spin,Uncapped,0.2
139,Rasikh Dar,KKR,2022,0.2,No,No,India,22,Bowler,RHB,Right Arm Fast Medium,Uncapped,0.2
140,Ramesh Kumar,KKR,2022,0.2,No,No,India,23,Batsman,LHB,-,Uncapped,0.2
141,Aman Khan,KKR,2022,0.2,No,No,India,25,All-Rounder,RHB,Right Arm Fast Medium,Uncapped,0.2
142,Baba Indrajith,KKR,2022,0.2,No,No,India,27,Wicketkeeper,RHB,-,Uncapped,0.2
143,Mayank Agarwal,PBKS,2022,12.0,No,Yes,India,30,Batsman,RHB,-,Capped,
144,Liam Livingstone,PBKS,2022,11.5,No,No,England,28,All-Rounder,RHB,Right Arm Leg Spin,Capped,1.0
145,Kagiso Rabada,PBKS,2022,9.25,No,No,South Africa,26,Bowler,LHB,Right Arm Fast,Capped,2.0
146,Shahrukh Khan,PBKS,2022,9.0,No,No,India,26,All-Rounder,RHB,Right Arm Off Spin,Uncapped,0.4
147,Shikhar Dhawan,PBKS,2022,8.25,No,No,India,36,Batsman,LHB,-,Capped,2.0
148,Jonny Bairstow,PBKS,2022,6.75,No,No,England,32,Wicketkeeper,RHB,-,Capped,1.5
149,Odean Smith,PBKS,2022,6.0,No,No,West Indies,25,All-Rounder,RHB,Right Arm Fast,Capped,1.0
150,Rahul Chahar,PBKS,2022,5.25,No,No,India,22,Bowler,RHB,Right Arm Leg Spin,Capped,0.75
151,Arshdeep Singh,PBKS,2022,4.0,No,Yes,India,23,Bowler,LHB,Left Arm Fast Medium,Uncapped,
152,Harpreet Brar,PBKS,2022,3.8,No,No,India,26,All-Rounder,LHB,Left Arm Slow Orthodox,Uncapped,0.2
153,Vaibhav Arora,PBKS,2022,2.0,No,No,India,24,Bowler,RHB,Right Arm Fast Medium,Uncapped,0.2
154,Raj Bawa,PBKS,2022,2.0,No,No,India,19,All-Rounder,LHB,Right Arm Fast Medium,Uncapped,0.2
155,Nathan Ellis,PBKS,2022,0.75,No,No,Australia,27,Bowler,RHB,Right Arm Fast Medium,Capped,0.75
156,Prabhsimran Singh,PBKS,2022,0.6,No,No,India,21,Wicketkeeper,RHB,-,Uncapped,0.2
157,Rishi Dhawan,PBKS,2022,0.55,No,No,India,32,All-Rounder,RHB,Right Arm Fast Medium,Capped,0.5
158,Bhanuka Rajapaksa,PBKS,2022,0.5,No,No,Sri Lanka,30,Batsman,LHB,-,Capped,0.5
159,Sandeep Sharma,PBKS,2022,0.5,No,No,India,28,Bowler,RHB,Right Arm Fast Medium,Capped,0.5
160,Benny Howell,PBKS,2022,0.4,No,No,England,33,All-Rounder,RHB,Right Arm Medium,Uncapped,0.4
161,Ishan Porel,PBKS,2022,0.25,No,No,India,23,Bowler,RHB,Right Arm Fast Medium,Uncapped,0.2
162,Prerak Mankad,PBKS,2022,0.2,No,No,India,27,All-Rounder,RHB,Right Arm Medium,Uncapped,0.2
163,Atharva Taide,PBKS,2022,0.2,No,No,India,21,All-Rounder,LHB,Left Arm Slow Orthodox,Uncapped,0.2
164,Ansh Patel,PBKS,2022,0.2,No,No,India,20,All-Rounder,RHB,Left Arm Slow Unorthodox,Uncapped,0.2
165,Jitesh Sharma,PBKS,2022,0.2,No,No,India,28,Wicketkeeper,RHB,-,Uncapped,0.2
166,Writtick Chatterjee,PBKS,2022,0.2,No,No,India,29,All-Rounder,RHB,Right Arm Off Spin,Uncapped,0.2
167,Baltej Singh,PBKS,2022,0.2,No,No,India,31,Bowler,RHB,Right Arm Fast Medium,Uncapped,0.2
168,Sanju Samson,RR,2022,14.0,No,Yes,India,27,Wicketkeeper,RHB,-,Capped,
169,Prasidh Krishna,RR,2022,10.0,No,No,India,26,Bowler,RHB,Right Arm Fast,Capped,1.0
170,Jos Buttler,RR,2022,10.0,No,Yes,England,31,Wicketkeeper,RHB,-,Capped,
171,Shimron Hetmyer,RR,2022,8.5,No,No,West Indies,25,Batsman,LHB,Right Arm Leg Spin,Capped,1.5
172,Trent Boult,RR,2022,8.0,No,No,New Zealand,32,Bowler,RHB,Left Arm Fast Medium,Capped,2.0
173,Devdutt Padikkal,RR,2022,7.75,No,No,India,21,Batsman,LHB,Right Arm Off Spin,Capped,2.0
174,Yuzvendra Chahal,RR,2022,6.5,No,No,India,31,Bowler,RHB,Right Arm Leg Spin,Capped,2.0
175,Ravichandran Ashwin,RR,2022,5.0,No,No,India,35,All-Rounder,RHB,Right Arm Off Spin,Capped,2.0
176,Yashasvi Jaiswal,RR,2022,4.0,No,Yes,India,20,Batsman,LHB,-,Uncapped,
177,Riyan Parag,RR,2022,3.8,No,No,India,20,All-Rounder,RHB,Right Arm Off Spin,Uncapped,0.3
178,Navdeep Saini,RR,2022,2.6,No,No,India,29,Bowler,RHB,Right Arm Fast,Capped,0.75
179,Nathan Coulter-Nile,RR,2022,2.0,No,No,Australia,34,Bowler,RHB,Right Arm Fast Medium,Capped,2.0
180,James Neesham,RR,2022,1.5,No,No,New Zealand,31,All-Rounder,LHB,Right Arm Fast Medium,Capped,1.5
181,Karun Nair,RR,2022,1.4,No,No,India,30,Batsman,RHB,Right Arm Off Spin,Capped,0.5
182,Rassie van der Dussen,RR,2022,1.0,No,No,South Africa,33,Batsman,RHB,Right Arm Off Spin,Capped,1.0
183,Obed McCoy,RR,2022,0.75,No,No,West Indies,25,Bowler,LHB,Left Arm Fast,Capped,0.75
184,Daryl Mitchell,RR,2022,0.75,No,No,New Zealand,30,All-Rounder,RHB,Right Arm Medium,Capped,0.75
185,KC Cariappa,RR,2022,0.3,No,No,India,27,Bowler,RHB,Right Arm Leg Spin,Uncapped,0.2
186,Tejas Baroka,RR,2022,0.2,No,No,India,26,Bowler,RHB,Right Arm Leg Spin,Uncapped,0.2
187,Kuldip Yadav,RR,2022,0.2,No,No,India,25,Bowler,LHB,Left Arm Fast,Uncapped,0.2
188,Dhruv Jurel,RR,2022,0.2,No,No,India,21,Wicketkeeper,RHB,-,Uncapped,0.2
189,Kuldeep Sen,RR,2022,0.2,No,No,India,25,Bowler,RHB,Right Arm Fast Medium,Uncapped,0.2
190,Shubham Garhwal,RR,2022,0.2,No,No,India,26,All-Rounder,LHB,Left Arm Slow Orthodox,Uncapped,0.2
191,Anunay Singh,RR,2022,0.2,No,No,India,29,All-Rounder,RHB,Right Arm Fast Medium,Uncapped,0.2
192,Virat Kohli,RCB,2022,15.0,No,Yes,India,33,Batsman,RHB,-,Capped,
193,Glenn Maxwell,RCB,2022,11.0,No,Yes,Australia,33,All-Rounder,RHB,Right Arm Off Spin,Capped,
194,Harshal Patel,RCB,2022,10.75,No,No,India,31,All-Rounder,RHB,Right Arm Fast Medium,Capped,2.0
195,Wanindu Hasaranga,RCB,2022,10.75,No,No,Sri Lanka,24,All-Rounder,RHB,Right Arm Leg Spin,Capped,1.0
