,match_id,winner,venue,year,toss_winner,toss_decision,match_type,team_1,team_1_score,team_1_wickets,team_1_balls_faced,team_2,team_2_score,team_2_wickets,team_2_balls_faced
48,1422126,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2024,MI,field,Group Stage,SRH,277,3,120,MI,246,5,120
49,1370352,GT,"Narendra Modi Stadium, Ahmedabad",2023,MI,field,Qualifier 2,GT,233,3,120,MI,171,10,115
50,1426309,KKR,"Narendra Modi Stadium, Ahmedabad",2024,SRH,bat,Qualifier 1,SRH,159,10,120,KKR,164,2,84
51,1359480,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2023,LSG,field,Group Stage,CSK,217,7,120,LSG,205,7,120
52,1422130,GT,"Narendra Modi Stadium, Ahmedabad",2024,SRH,bat,Group Stage,SRH,162,8,120,GT,168,3,119
53,1359479,RCB,"M Chinnaswamy Stadium, Bengaluru",2023,RCB,field,Group Stage,MI,171,7,120,RCB,172,2,102
54,1359496,MI,"Wankhede Stadium, Mumbai",2023,MI,field,Group Stage,KKR,185,6,120,MI,186,5,109
55,1473492,No Result,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2025,SRH,field,Group Stage,DC,133,7,120,SRH,0,0,0
56,1304052,RCB,"Dr DY Patil Sports Academy, Mumbai",2022,RCB,field,Group Stage,KKR,128,10,115,RCB,132,7,120
57,1426276,RR,"Sawai Mansingh Stadium, Jaipur",2024,MI,bat,Group Stage,MI,179,9,120,RR,183,1,117
58,1359510,KKR,"M Chinnaswamy Stadium, Bengaluru",2023,RCB,field,Group Stage,KKR,200,5,120,RCB,179,8,120
59,1426299,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2024,RR,bat,Group Stage,RR,141,5,120,CSK,145,5,115
60,1473451,GT,"M Chinnaswamy Stadium, Bengaluru",2025,GT,field,Group Stage,RCB,169,8,120,GT,170,2,108
61,1304091,LSG,"Wankhede Stadium, Mumbai",2022,LSG,bat,Group Stage,LSG,195,3,120,DC,189,7,120
62,1473447,DC,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",2025,SRH,bat,Group Stage,SRH,163,10,119,DC,166,3,98
63,1473502,LSG,"Narendra Modi Stadium, Ahmedabad",2025,GT,field,Group Stage,LSG,235,2,120,GT,202,9,120
64,1304087,DC,"Wankhede Stadium, Mumbai",2022,DC,field,Group Stage,KKR,146,9,120,DC,150,6,117
65,1304068,CSK,"Dr DY Patil Sports Academy, Mumbai",2022,RCB,field,Group Stage,CSK,216,4,120,RCB,193,9,120
66,1359506,RCB,"M Chinnaswamy Stadium, Bengaluru",2023,RR,field,Group Stage,RCB,189,9,120,RR,182,6,120
67,1426260,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2024,CSK,field,Group Stage,KKR,137,9,120,CSK,141,3,109
68,1426284,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",2024,SRH,field,Group Stage,CSK,212,3,120,SRH,134,10,116
69,1473509,MI,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",2025,MI,bat,Eliminator,MI,228,5,120,GT,208,6,120
70,1304063,SRH,"Dr DY Patil Sports Academy, Mumbai",2022,SRH,field,Group Stage,CSK,154,7,120,SRH,155,2,110
71,1304075,GT,"Maharashtra Cricket Association Stadium, Pune",2022,GT,field,Group Stage,CSK,169,5,120,GT,170,7,120
72,1426292,KKR,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2024,LSG,field,Group Stage,KKR,235,6,120,LSG,137,10,103
73,1473499,SRH,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2025,SRH,field,Group Stage,LSG,205,7,120,SRH,206,5,119
74,1473476,GT,"Eden Gardens, Kolkata",2025,KKR,field,Group Stage,GT,198,3,120,KKR,159,8,120
75,1304059,RCB,"Wankhede Stadium, Mumbai",2022,RCB,field,Group Stage,RR,169,3,120,RCB,173,6,120
76,1359537,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",2023,MI,field,Group Stage,LSG,177,4,120,MI,172,5,120
77,1426302,DC,"Arun Jaitley Stadium, Delhi",2024,LSG,field,Group Stage,DC,208,4,120,LSG,189,9,120
78,1359521,KKR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2023,KKR,bat,Group Stage,KKR,171,9,120,SRH,166,8,120
79,1473460,GT,"Narendra Modi Stadium, Ahmedabad",2025,RR,field,Group Stage,GT,217,6,120,RR,159,10,120
80,1426267,CSK,"Wankhede Stadium, Mumbai",2024,MI,field,Group Stage,CSK,206,4,120,MI,186,6,120
81,1359501,RCB,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",2023,PBKS,field,Group Stage,RCB,174,4,120,PBKS,150,10,113
